Customer ID,PredictedLTV
17777.0,655.556
16719.0,3924.766
12546.0,1133.6228
17484.0,196.60088
17207.0,313.99097
17733.0,700.69995
14713.0,4943.0493
13976.0,1186.2584
18163.0,730.7095
14570.0,634.5562
14198.0,1680.7096
17767.0,399.29233
15693.0,47.60453
18104.0,640.4899
15317.0,119.64875
15909.0,188.65718
14015.0,907.39655
15673.0,6009.5146
16468.0,757.0501
17292.0,281.08728
15064.0,1222.9536
15016.0,623.4846
18213.0,236.55228
12756.0,108.34503
14682.0,1532.4976
14504.0,703.6492
14699.0,718.9728
13614.0,2386.3096
14460.0,1243.6277
13351.0,370.42105
13396.0,1372.7502
12568.0,62.477158
12369.0,1803.8882
15425.0,1853.7717
13832.0,603.62695
17168.0,395.64786
16702.0,1117.7076
17342.0,1204.669
15083.0,87.90157
16851.0,353.61896
15038.0,1319.2958
14584.0,1718.5889
17459.0,677.23737
13003.0,199.74129
17676.0,2739.193
14373.0,79.74518
13228.0,354.7454
15448.0,820.74744
17554.0,1888.9257
13576.0,11456.874
17166.0,196.94568
17851.0,1521.0024
14950.0,365.3671
17143.0,919.9696
16677.0,876.9149
13784.0,2962.637
14064.0,3453.514
17588.0,2985.0151
16199.0,965.769
15003.0,1087.2982
16908.0,252.26352
15170.0,79.31124
13404.0,243.85954
12854.0,2989.8848
14140.0,947.092
14899.0,1363.2528
14472.0,2041.6124
15117.0,2713.3489
16081.0,4578.389
17093.0,236.59422
14623.0,2101.8962
15094.0,98.91365
16168.0,9031.236
16093.0,12.670905
16335.0,2720.1313
16191.0,15773.029
16563.0,4413.4634
17185.0,249.20699
15985.0,2558.9536
13134.0,2538.872
14008.0,509.22525
15181.0,1242.3224
13698.0,448.19635
16835.0,1509.159
14836.0,122.90767
15777.0,1959.4381
14261.0,1133.6228
13158.0,1453.805
13733.0,496.06668
15211.0,1238.653
14149.0,489.61505
17070.0,413.68784
13529.0,293.31497
13163.0,16.932646
16833.0,2525.9944
15226.0,147.73763
12426.0,1370.1523
13469.0,81.24526
17269.0,497.80405
14156.0,180015.27
17813.0,1808.2911
16950.0,3791.7512
12580.0,1033.4156
15986.0,347.8346
15269.0,1215.0922
16730.0,761.40466
17748.0,355.22134
14170.0,634.59814
16311.0,621.24384
17638.0,848.0691
14264.0,1532.4976
13096.0,416.00104
15807.0,1838.8252
15797.0,2932.5322
18059.0,303.68848
